시설구분코드|시설코드|시설명|시설규모|대피가능인원수|관리기관명|관리기관전화번호|시설주소도로명|경도|위도|개방여부|지상지하구분
지진|E197000001|경북농업기술원 비상급수시설|150|150|대구광역시 북구청|053-665-3880|대구광역시 북구 칠곡중앙대로136길 47 (동호동, 경상북도농업기술원)|128.5602777777778|35.95777777777778|Y|0
지진해일|E200600002|강북웰빙랜드(1)|400|400|대구광역시 북구청|053-665-3880|대구광역시 북구 구리로 29 (학정동)|128.55833333333334|35.94694444444444|Y|1
지진해일|E200900005|강북웰빙랜드(2)|300|300|대구광역시 북구청|053-665-3880|대구광역시 북구 구리로 29 (학정동)|128.55833333333334|35.94694444444444|Y|1
지진|E201300001|경북대학교(농대부속시설)|136|136|대구광역시 북구청|053-665-3620|대구광역시 북구 대학로 80 (복현동)|128.60944444444445|35.8875|Y|0
지진해일|E200900001|송림스포츠프라자|370|370|대구광역시 북구청||대구광역시 북구 칠곡중앙대로 309 (태전동)|128.54638888888888|35.92333333333333|Y|1
지진|S200500016|홈플러스 칠곡점 지하주차장 1층|15765|19109|대구광역시 북구청|053-665-2160|대구광역시 북구 동암로12길 8 (동천동, 칠곡홈플러스)|128.555|35.94499999999999|Y|1
지진해일|E201200005|그린파크사우나(1)|550|550|대구광역시 북구청|053-665-2160|대구광역시 북구 학정로 439 (동천동, 칠곡메가타운)|128.56333333333333|35.943888888888885|Y|1
지진해일|E201200006|그린파크사우나(2)|320|320|대구광역시 북구청|053-665-2160|대구광역시 북구 학정로 439 (동천동, 칠곡메가타운)|128.56333333333333|35.943888888888885|Y|1
지진|S200300171|영남2차아파트 지하주차장 1층|2047|2481|대구광역시 북구청|053-665-2160|대구광역시 북구 팔거천동로24길 40 (동천동, 칠곡2차영남타운)|128.56083333333333|35.9325|Y|1
지진해일|E200000009|대산목욕탕|92|92|대구광역시 북구청||대구광역시 북구 연암로 127 (산격동)|128.59444444444446|35.89611111111111|Y|0
지진|E200600001|북대구농협산격지점|206|206|대구광역시 북구청|053-665-3560|대구광역시 북구 대불서길 8 (산격동)|128.6147222222222|35.900555555555556|Y|1
지진|S201600001|산격거평타운 전동 지하주차장 1층|5365|6503|대구광역시 북구청|053-665-4055|대구광역시 북구 유통단지로3길 7 (산격동, 산격거평아파트)|128.60416666666666|35.90555555555555|Y|1
지진|S201100007|산격대우아파트 전동 지하주차장 1층, 2층|4071|4934|대구광역시 북구청|053-665-4055|대구광역시 북구 동북로 163 (산격동, 산격대우아파트)|128.61055555555555|35.89972222222222|N|1
지진|S201100008|양우내안애아파트 전동 지하주차장 1층, 2층|926|1122|대구광역시 북구청|053-665-3560|대구광역시 북구 동북로 131 (산격동, 양우내안애아파트)|128.60805555555555|35.90138888888889|Y|1
지진|S200500009|전시컨벤션센터 지하주차장 1 ~ 4층|54647|66238|대구광역시 북구청|053-665-3560|대구광역시 북구 엑스코로 10, 대구전시컨벤션센터 (산격동)|128.61305555555555|35.907222222222224|Y|1
지진|S200500010|대구종합유통단지산업용재관 전동 지하주차장 1층|49600|60121|대구광역시 북구청|053-665-4055|대구광역시 북구 유통단지로 16 (산격동, 유통단지산업용재관)|128.605|35.90472222222222|Y|1
지진|S200900003|태전휴먼시아1단지아파트 지하주차장 1층|4296|5207|대구광역시 북구청|053-665-4310|대구광역시 북구 매전로 73 (태전동, 태전휴먼시아1단지)|128.54611111111112|35.91222222222222|Y|1
지진|S200500011|네오시티프라자 지하주차장 1층~5층|8283|10040|대구광역시 북구청|053-665-4310|대구광역시 북구 칠곡중앙대로 412 (태전동, 네오시티프라자)|128.54888888888888|35.93222222222222|Y|1
지진|S200300163|두성파크 전체동 지하주차장 1층|1610|1951|대구광역시 북구청|053-665-4310|대구광역시 북구 학정로13길 16 (태전동, 두성2차파크아파트)|128.54944444444445|35.915277777777774|Y|1
지진|S200300164|우방미진아파트 지하주차장 1층|1818|2203|대구광역시 북구청|053-665-4310|대구광역시 북구 칠곡중앙대로52길 46 (태전동, 태전미진타운)|128.54916666666668|35.922777777777775|Y|1
지진|S200300154|칠곡금빛타운 지하1층 주차장|5867|7111|대구광역시 북구청|053-665-3800|대구광역시 북구 팔거천동로 70(구암동, 칠곡금빛타운)|128.55444444444444|35.93055555555555|Y|1
지진|S200300155|서한아파트 지하1층~2층 주차장|6354|7701|대구광역시 북구청|053-665-3800|대구광역시 북구 구암로32길 14(구암동, 칠곡3차서한타운)|128.5577777777778|35.930277777777775|Y|1
지진|S200300167|태전3차우방아파트 지하주차장 1층~2층|1693|2052|대구광역시 북구청|053-665-4310|대구광역시 북구 학정로 126 (태전동, 태전3차우방타운)|128.5513888888889|35.91916666666666|Y|1
지진|S202300002|복현푸르지오 전체동 지하주차장 1~2층|52803|64003|대구광역시 북구청|053-665-3640|대구광역시 북구 동북로 345 (복현동, 복현푸르지오)|128.6263888888889|35.89194444444444|Y|1
지진|S199400004|복현현대맨션 지하주차장 1층|2003|2427|대구광역시 북구청|053-665-3640|대구광역시 북구 복현로 115 (복현동, 복현현대맨션)|128.61944444444444|35.900277777777774|Y|1
지진|S199100009|삼성빌딩 지하주차장 1층|886|1073|대구광역시 북구청|053-665-3640|대구광역시 북구 동북로 279 (복현동)|128.62083333333334|35.89333333333333|Y|1
무더위|E198200002|대구광역시청 별관(101동)|250|250|대구광역시 북구청||대구광역시 북구 연암로 40 (산격동)|128.60222222222222|35.89277777777778|Y|0
지진해일|E200900007|서변온천(2)|350|350|대구광역시 북구청|053-665-3800|대구광역시 북구 호국로 219 (서변동, 대성골든프라자1차)|128.5988888888889|35.921388888888885|Y|0
지진|S200300161|전원아파트 지하주차장 1층|2023|2452|대구광역시 북구청|053-665-4310|대구광역시 북구 칠곡중앙대로46길 25(태전동, 현대전원맨션)|128.55|35.91833333333333|Y|1
지진|S200300166|중석타운 전체동 지하주차장 1층|7868|9536|대구광역시 북구청|053-665-4310|대구광역시 북구 학정로7길 3 (태전동, 태전중석타운)|128.54638888888888|35.913888888888884|Y|1
지진|S201000002|강북화성파크드림 전체동 지하주차장 1층|1062|1287|대구광역시 북구청|053-665-4310|대구광역시 북구 칠곡중앙대로 312 (태전동, 강북 화성파크드림)|128.54722222222222|35.92361111111111|Y|1
지진|S200300165|태전동삼성아파트 전체동 지하주차장 1층|5190|6290|대구광역시 북구청|053-665-4310|대구광역시 북구 칠곡중앙대로52길 20 (태전동, 삼성아파트)|128.54833333333332|35.92027777777778|Y|1
지진|S201700004|협성휴포레강북 지하주차장 1층~2층|1804|2186|대구광역시 북구청|053-665-4310|대구광역시 북구 태암남로 60 (태전동, 협성휴포레강북아파트)|128.5536111111111|35.92472222222222|Y|1
지진|S199500104|민들레아파트 지하주차장 1층|1294|1568|대구광역시 북구청|053-665-4310|대구광역시 북구 검단로 255 (검단동, 민들레아파트)|128.62972222222223|35.91611111111111|Y|1
지진|S200300162|에덴아파트 전체동 지하주차장 1층|3088|3743|대구광역시 북구청|053-665-4310|대구광역시 북구 구암로22길 14 (태전동, 칠곡에덴타운)|128.55166666666668|35.93111111111111|Y|1
지진|S200300102|삼진목화아파트 지하주차장 1층|483|585|대구광역시 북구청|053-665-4310|대구광역시 북구 대천로9길 15 (읍내동, 삼진목화아파트)|128.55444444444444|35.93888888888888|Y|1
지진|S200300113|산호한양아파트 303, 307동 지하주차장 1층|1145|1387|대구광역시 북구청|053-665-4310|대구광역시 북구 대천로7길 40, 302동 (읍내동, 칠곡산호한양아파트)|128.55583333333334|35.94083333333333|Y|1
지진|S200300110|공작한양아파트 104, 106동 지하주차장 1층|4550|5515|대구광역시 북구청|053-665-4310|대구광역시 북구 구암로21길 38, 104동 (읍내동, 칠곡1차(공작)한양아파트)|128.5536111111111|35.934999999999995|Y|1
지진|S201200004|칠곡e편한세상 지하주차장 1~2층|1615|1957|대구광역시 북구청|053-665-4310|대구광역시 북구 칠곡중앙대로 598 (읍내동, 칠곡e-편한세상)|128.55333333333334|35.94944444444444|Y|1
지진|S200900001|칠곡1차한라하우젠트 지하주차장 1층|1676|2031|대구광역시 북구청|053-665-4310|대구광역시 북구 학남로 10(학정동, 칠곡1차 한라하우젠트)|128.56583333333336|35.948611111111106|Y|1
지진|S202300001|힐스테이트데시앙 도남1단지 지하주차장 1층|11789|14289|대구광역시 북구청|053-665-4310|대구광역시 북구 도남길 76(국우동, 힐스테이트 데시앙 도남1단지)|128.5822222222222|35.95444444444445|N|1
지진|S201400001|칠곡3차보성타운 101동,103동 지하주차장 1층|2990|3624|대구광역시 북구청|053-665-4310|대구광역시 북구 칠곡중앙대로126길 7-12, 102동 (읍내동, 칠곡3차보성타운)|128.5552777777778|35.95111111111111|Y|1
지진|S201700001|칠곡시장 지하주차장 1층|1826|2213|대구광역시 북구청|053-665-4310|대구광역시 북구 칠곡중앙대로 526 (읍내동)|128.5513888888889|35.94277777777778|Y|1
지진|S201900001|효성해링턴 플레이스 102동 지하주차장 1층|13829|16762|대구광역시 북구청|053-665-4310|대구광역시 북구 관음로 295 (읍내동, 학정역효성해링턴플레이스)|128.55194444444444|35.95416666666667|Y|1
지진|S199500064|성광우방아파트 지하주차장1층|5620|6812|대구광역시 북구청|053-665-4310|대구광역시 북구 호암로 20 (칠성동2가, 성광우방타운)|128.59222222222223|35.88194444444444|Y|1
지진해일|E200700006|대천목욕탕|250|250|대구광역시 북구청|053-665-3900|대구광역시 북구 팔거천서로 157-16 (읍내동)|128.55444444444444|35.93833333333333|Y|1
지진|S200500012|동아아울렛강북점 본관 지하주차장 1~4층|8643|10476|대구광역시 북구청|053-665-4310|대구광역시 북구 칠곡중앙대로 416 (읍내동, 동아아울렛 강북점)|128.54916666666668|35.933055555555555|Y|1
지진해일|E200900008|동아아울렛 강북점 지하5층|300|300|대구광역시 북구청|053-665-3900|대구광역시 북구 칠곡중앙대로 416 (읍내동, 동아아울렛 강북점)|128.54888888888888|35.93277777777777|Y|1
지진해일|E201200004|칠곡시티월드사우나 지하1층|210|210|대구광역시 북구청|053-665-3900|대구광역시 북구 대천로 31 (읍내동)|128.55305555555557|35.93805555555555|Y|1
지진|S202100001|대구연경 LH천년나무1단지 지하주차장 1층|1850|2242|대구광역시 북구청|053-665-4310|대구광역시 북구 동화천로 280 (연경동, 대구연경엘에이치천년나무1단지)|128.62222222222223|35.941111111111105|N|1
지진|S200300137|은마아파트 A동 지하1층|123|149|대구광역시 북구청|053-665-4310|대구광역시 북구 태전로 51 (태전동, 제림은마아파트)|128.54305555555555|35.92444444444444|Y|1
지진|S200300135|협화아파트 전동 지하주차장 1층|5553|6730|대구광역시 북구청|053-665-4310|대구광역시 북구 칠곡중앙대로51길 6 (태전동, 협화맨션)|128.54611111111112|35.91833333333333|Y|1
지진|S200300138|우방1차아파트 전동 지하주차장 1층|5402|6547|대구광역시 북구청|053-665-4310|대구광역시 북구 매천로 220 (태전동, 태전우방타운)|128.5427777777778|35.916666666666664|Y|1
지진|S200300150|태전대백2차아파트 지하주차장 1층|2932|3553|대구광역시 북구청|053-665-4310|대구광역시 북구 관음로 18 (태전동, 태전대백맨션)|128.54|35.93194444444444|Y|1
지진|S200300146|롯데아파트 전동 지하주차장 1층|4817|5838|대구광역시 북구청|053-665-4310|대구광역시 북구 구암로 12 (태전동, 롯데아파트)|128.54166666666666|35.93333333333333|Y|1
지진|S200300139|두성1차아파트 지하주차장 1층|1655|2006|대구광역시 북구청|053-665-4310|대구광역시 북구 태전로7길 10-17 (태전동, 1차 두성타운 아파트)|128.54333333333332|35.92333333333333|Y|1
지진|S200300148|관음타운 전동 지하주차장 1~3층|14678|17791|대구광역시 북구청|053-665-4310|대구광역시 북구 영송로 63 (태전동, 칠곡관음타운)|128.5438888888889|35.93138888888889|Y|1
지진|S201000004|대구보건대아트센터 지하주차장 1~2층|8450|10242|대구광역시 북구청|053-665-4310|대구광역시 북구 영송로 15 (태전동, 대구보건대학교)|128.54416666666665|35.926944444444445|Y|1
지진|S201000005|대구보건대 지하주차장 1~2층|4250|5151|대구광역시 북구청|053-665-4310|대구광역시 북구 영송로 15 (태전동, 대구보건대학교)|128.54333333333332|35.92777777777778|Y|1
지진|S199500017|산격주공아파트 107동 지하 1층|373|452|대구광역시 북구청|053-665-4310|대구광역시 북구 연암로 183, 지하1층 (산격동, 산격주공아파트)|128.59611111111113|35.90083333333333|Y|1
지진|S199500011|산격주공아파트 101동 지하 1층|755|915|대구광역시 북구청|053-665-4310|대구광역시 북구 연암로 183, 지하1층 (산격동, 산격주공아파트)|128.59611111111113|35.90083333333333|Y|1
지진|S199500012|산격주공아파트 102동 지하 1층|657|796|대구광역시 북구청|053-665-4310|대구광역시 북구 연암로 183, 지하1층 (산격동, 산격주공아파트)|128.59611111111113|35.90083333333333|Y|1
지진|S199500016|산격주공아파트 106동 지하 1층|755|915|대구광역시 북구청|053-665-4310|대구광역시 북구 연암로 183, 지하1층 (산격동, 산격주공아파트)|128.59611111111113|35.90083333333333|Y|1
지진|S199500013|산격주공아파트 103동 지하 1층|373|452|대구광역시 북구청|053-665-4310|대구광역시 북구 연암로 183, 지하1층 (산격동, 산격주공아파트)|128.59611111111113|35.90083333333333|Y|1
지진|S199500014|산격주공아파트 104동 지하 1층|373|452|대구광역시 북구청|053-665-4310|대구광역시 북구 연암로 183, 지하1층 (산격동, 산격주공아파트)|128.59611111111113|35.90083333333333|Y|1
지진|S199500015|산격주공아파트 105동 지하 1층|755|915|대구광역시 북구청|053-665-4310|대구광역시 북구 연암로 183, 지하1층 (산격동, 산격주공아파트)|128.59611111111113|35.90083333333333|Y|1
지진|S199500018|산격주공아파트 108동 지하 1층|755|915|대구광역시 북구청|053-665-4310|대구광역시 북구 연암로 183, 지하1층 (산격동, 산격주공아파트)|128.59611111111113|35.90083333333333|Y|1
지진|S199800017|산격동화타운 지하주차장 1층|2214|2683|대구광역시 북구청|053-665-4310|대구광역시 북구 연암로31길 19 (산격동, 산격동화타운)|128.59416666666667|35.89833333333333|Y|1
한파|E198700005|대현아파트|200|200|대구광역시 북구청|053-665-3900|대구광역시 북구 대현로19길 15 (대현동, 대현아파트)|128.60944444444445|35.88361111111111|Y|0
지진|E199500007|대현탕|80|80|대구광역시 북구청|053-665-3900|대구광역시 북구 대현남로2길 22 (대현동)|128.605|35.879444444444445|Y|0
지진|S200300120|성지무궁화아파트 지하주차장 1층|331|401|대구광역시 북구청|053-665-3900|대구광역시 북구 경대로7길 60 (대현동, 성지무궁화아파트)|128.60777777777778|35.88611111111111|Y|1
지진|S199500157|삼주빌딩 지하1층|460|557|대구광역시 북구청|053-665-3900|대구광역시 북구 대현로 102 (대현동)|128.60999999999999|35.882222222222225|Y|1
지진|S201200003|대현한신휴플러스아파트 전동 지하1층|1753|2124|대구광역시 북구청|053-665-3900|대구광역시 북구 대현남로 25(대현동, 대현한신휴플러스)|128.6052777777778|35.88166666666667|Y|1
지진|S200300126|대현신화빌라 지하주차장 1층|496|601|대구광역시 북구청|053-665-3900|대구광역시 북구 대현로19길 23 (대현동, 대현동아파트)|128.60944444444445|35.88472222222222|Y|1
지진|S200300125|신화아파트 지하주차장 1층|661|801|대구광역시 북구청|053-665-3900|대구광역시 북구 경대로5길 25 (대현동, 대현신화맨션)|128.61111111111111|35.88444444444444|Y|1
지진|E200000023|대양목욕탕|100|100|대구광역시 북구청|053-665-3900|대구광역시 북구 대현로21길 36 (대현동)|128.60944444444445|35.884166666666665|Y|0
지진|S201200001|대현e편한세상아파트 104동, 105동 지하1~2층|1304|1580|대구광역시 북구청|053-665-3900|대구광역시 북구 대현로10길 82 (대현동, 대현e-편한세상)|128.60333333333332|35.882222222222225|Y|1
지진|S200300141|한신중앙아파트 전동 지하주차장 1층|7600|9212|대구광역시 북구청|053-665-4310|대구광역시 북구 영송로 85 (태전동, 한신중앙아파트)|128.54416666666665|35.933055555555555|Y|1
지진|S200300144|대백1차아파트 전동 지하주차장 1층|3828|4640|대구광역시 북구청|053-665-4310|대구광역시 북구 관음로 24 (태전동, 칠곡대백맨션)|128.54194444444445|35.93194444444444|Y|1
지진|S199500074|대구도시공사지하주차장(지하1~2층)|3306|4007|대구광역시 북구청|053-665-4310|대구광역시 북구 침산로 73 (고성동3가, 도시개발공사 사옥)|128.58944444444447|35.88305555555556|Y|1
한파|E198400003|북구청|540|540|대구광역시 북구청|053-665-3900|대구광역시 북구 옥산로 65 (침산동, 북구청)|128.58305555555555|35.885555555555555|Y|0
한파|E199600001|관음공원|300|300|대구광역시 북구청|053-665-4310|대구광역시 북구 칠곡중앙대로91길 21 (관음동)|128.54666666666665|35.93611111111111|Y|0
지진|S199500125|칠곡서한맨션 지하주차장 1층|1858|2252|대구광역시 북구청|053-665-4310|대구광역시 북구 관음중앙로 6 (관음동, 칠곡서한맨션)|128.54444444444445|35.93444444444444|Y|1
지진|S199500128|한양수정아파트 210동 지하주차장 1층|2784|3374|대구광역시 북구청|053-665-4310|대구광역시 북구 구암로 17 (관음동, 칠곡2차(수정)한양아파트)|128.5427777777778|35.93388888888889|Y|1
지진|S199500129|한양수정아파트 212동 지하주차장 1층|1817|2202|대구광역시 북구청|053-665-4310|대구광역시 북구 구암로 17 (관음동, 칠곡2차(수정)한양아파트)|128.5427777777778|35.93388888888889|Y|1
지진|S201600007|동화훼밀리타운 지하주차장 1층|5455|6612|대구광역시 북구청|053-665-4310|대구광역시 북구 칠곡중앙대로95길 11 (관음동, 동화훼밀리타운)|128.54805555555555|35.93861111111111|Y|1
지진|S199500130|한신아파트 지하주차장 1층|3537|4287|대구광역시 북구청|053-665-4310|대구광역시 북구 관음로 50 (관음동, 한신아파트)|128.54111111111112|35.934999999999995|Y|1
지진|S199500127|한양수정아파트 204동 지하주차장 1층|3364|4077|대구광역시 북구청|053-665-4310|대구광역시 북구 구암로 17 (관음동, 칠곡2차(수정)한양아파트)|128.5427777777778|35.93388888888889|Y|1
지진|S201200002|대현뜨란채아파트 101동 지하1층|1702|2063|대구광역시 북구청|053-665-3900|대구광역시 북구 대현남로 28 (대현동, 대현뜨란채)|128.60611111111112|35.87972222222222|Y|1
한파|E198200003|시민운동장|500|500|대구광역시 북구청|053-665-4310|대구광역시 북구 고성로 191 (고성동3가)|128.58666666666667|35.88305555555556|Y|0
무더위|E200000005|동호경로당 비상급수시설|40|40|대구광역시 북구청||대구광역시 북구 동호길 72-13 (동호동)|128.5577777777778|35.96361111111111|Y|0
지진해일|E200900006|서변온천(1)|700|700|대구광역시 북구청|053-665-3800|대구광역시 북구 호국로 219 (서변동, 대성골든프라자1차)|128.5988888888889|35.921388888888885|Y|0
지진|S199700006|복현보성타운 전체동 지하주차장 1층|4397|5329|대구광역시 북구청|053-665-3640|대구광역시 북구 검단로 64 (복현동, 복현보성타운)|128.61666666666667|35.90333333333333|Y|1
지진|S199800018|복현서한1차아파트 전체동 지하주차장 1~2층|7967|9656|대구광역시 북구청|053-665-3640|대구광역시 북구 검단로 50 (복현동, 복현서한타운)|128.61638888888888|35.901944444444446|Y|1
지진|S200300028|복현2차서한아파트 전체동 지하주차장 1층|1420|1721|대구광역시 북구청|053-665-3640|대구광역시 북구 공항로15길 8 (복현동, 복현2차서한타운)|128.62361111111113|35.9|Y|1
지진|S199400013|영진전문대 구내식당 지하1층|992|1202|대구광역시 북구청|053-665-3640|대구광역시 북구 복현로 35 (복현동, 영진전문대학)|128.62361111111113|35.89527777777778|Y|1
지진|E201300002|금강목욕탕|328|328|대구광역시 북구청|053-665-3640|대구광역시 북구 복현로 100 (복현동)|128.6211111111111|35.89972222222222|Y|0
한파|E201400001|금호공원|300|300|대구광역시 북구청|053-665-3900|대구광역시 북구 한강로 96 (금호동)|128.51972222222224|35.896388888888886|Y|0
지진|S199800014|남영타운 지하주차장(지하1~2층)|2267|2747|대구광역시 북구청|053-665-4310|대구광역시 북구 침산남로9길 167 (침산동, 침산남영타운)|128.5863888888889|35.89944444444444|Y|1
지진|S199800015|침산동화타운 지하주차장(지하1~2층)|7259|8798|대구광역시 북구청|053-665-4310|대구광역시 북구 침산남로7길 50-21 (침산동, 침산동화타운)|128.57944444444445|35.89388888888889|Y|1
한파|E199300002|연경동 비상급수시설|500|500|대구광역시 북구청|053-665-3900|대구광역시 북구 도덕길 176-1 (연경동)|128.61416666666665|35.956944444444446|Y|0
한파|E198400006|칠곡시장|520|520|대구광역시 북구청|053-665-4310|대구광역시 북구 칠곡중앙대로 526-0 (읍내동, 칠곡시장)|128.55083333333334|35.94222222222222|Y|0
지진|S199500007|강병원 지하 1층|344|416|대구광역시 북구청|053-665-4310|대구광역시 북구 노원로 70 (노원동3가)|128.57|35.89388888888889|Y|1
지진|S199800001|기아자동차 지하 1층, 세미나실|490|593|대구광역시 북구청|053-665-4310|대구광역시 북구 팔달로 53 (노원동3가)|128.55555555555557|35.89111111111111|Y|1
지진|S201100002|노원동화타운 지하주차장 1~2층|5263|6379|대구광역시 북구청|053-665-4310|대구광역시 북구 오봉로 39 (노원동2가, 노원동화타운)|128.57666666666665|35.891666666666666|Y|1
지진|S198500001|현대자동차서비스 지하 1층|1287|1560|대구광역시 북구청|053-665-4310|대구광역시 북구 노원로 6 (노원동3가)|128.5638888888889|35.89|Y|1
지진|S200000003|건영화물 사무실 지하1층|131|158|대구광역시 북구청|053-665-4310|대구광역시 북구 노원로 125 (노원동3가)|128.5738888888889|35.89722222222222|Y|1
지진|S202100004|노원한신더휴 지하주차장 1~2층|46782|56705|대구광역시 북구청|053-665-4310|대구광역시 북구 노원로10길 40 (노원동3가, 대구노원한신더휴)|128.56972222222223|35.891666666666666|N|1
무더위|E200000003|운암지공원|100|100|대구광역시 북구청|053-665-2850||128.5675|35.93222222222222|Y|0
지진|E200600004|유니버시아드레포츠센터|340|340|대구광역시 북구청|053-665-3900|대구광역시 북구 호국로57길 6 (서변동)|128.59805555555556|35.92805555555555|Y|0
지진|S200500002|화성리버파크2단지아파트 지하주차장 1층|1254|1520|대구광역시 북구청|053-665-4310|대구광역시 북구 서변로 50 (서변동, 화성리버파크2단지)|128.59722222222223|35.92055555555555|Y|1
지진|S200500003|동서리치모아아파트 지하주차장 1층|7914|9592|대구광역시 북구청|053-665-4310|대구광역시 북구 서변로 88 (서변동, 동서리치모아)|128.59722222222223|35.92361111111111|Y|1
지진|S201600002|서변청아람 지하주차장 1층|1219|1477|대구광역시 북구청|053-665-4310|대구광역시 북구 호국로57길 20 (서변동, 서변청아람)|128.59722222222223|35.92777777777778|Y|1
지진|S200500001|유니버시아드선수촌1단지 지하주차장 1층|641|776|대구광역시 북구청|053-665-4310|대구광역시 북구 동변로 50 (동변동, 유니버시아드선수촌)|128.6038888888889|35.91777777777777|Y|1
지진|E202300001|서변동 92|300|300|대구광역시 북구청|053-665-4310|대구광역시 북구 동화천로 67-41 (서변동)|128.6013888888889|35.93444444444444|Y|0
지진|S200400047|대구동서변그린빌 지하주차장 1층|2934|3556|대구광역시 북구청|053-665-4310|대구광역시 북구 동변로 55(동변동, 대구동서변그린빌)|128.6036111111111|35.91833333333333|Y|1
지진|S202100002|대구연경 연경숲 지하주차장 1층|23435|28406|대구광역시 북구청|053-665-4310|대구광역시 북구 연경중앙로 55 (연경동, 대구연경 연경숲)|128.61722222222224|35.947222222222216|N|1
지진|S200900002|학정청아람 지하주차장 1~2층|2383|2888|대구광역시 북구청|053-665-4310|대구광역시 북구 학정로110길 29(학정동, 학정청아람)|128.5675|35.95277777777778|Y|1
지진|S200900004|칠곡현대아파트 지하주차장 1층|7680|9309|대구광역시 북구청|053-665-4310|대구광역시 북구 구리로 254(국우동, 칠곡현대아파트)|128.57972222222222|35.948055555555555|Y|1
