GRND_UDGD_SE,ORTM_UTLZ_TYPE,SGG_CD,FCLT_CD,FCLT_SE_CD,ROAD_NM_CD,LOT_MIN,SHNT_PSBLTY_NOPE,FCLT_SCL,LOT_SEC,EMD_NM,FCLT_ADDR_RONA,SE_CD,OPN_YN,LAT_SEC,LAT_PROVIN,LAT_MIN,MNG_INST_TELNO,FCLT_NM,FCLT_DSGN_DAY,MNG_INST_NM,FCLT_ADDR_LOTNO,SCL_UNIT,LOT_PROVIN,EMD_CD
1,지하주차장,3480000,S201700011,3           ,3148038     ,27,1506,1243,48,다사읍,대구광역시 달성군 다사읍 왕선로 49 (강창동서아파트),2,Y,52,35,51,053-668-2890,강창동서아파트 지하주차장 1층,20170403,대구광역시 달성군청,대구광역시 달성군 다사읍 302번지,㎡,128,3480043     
1,지하주차장,3480000,S201700012,3           ,2007002     ,27,3115,2570,35,다사읍,대구광역시 달성군 다사읍 달구벌대로 802-1 (강창한서꼼빠니아타운),2,Y,40,35,51,053-668-2890,강창한서꼼빠니아 지하주차장 1층,20170403,대구광역시 달성군청,대구광역시 달성군 다사읍 719번지 3호,㎡,128,3480043     
1,지하주차장,3480000,S201700052,3           ,3007026     ,26,9753,8047,8,옥포읍,대구광역시 달성군 옥포읍 비슬로 1941 (대구옥포LH허브시티),2,Y,56,35,46,053-668-2890,옥포LH허브시티 아파트 지하 1층,20170428,대구광역시 달성군청,대구광역시 달성군 옥포읍 1099번지,㎡,128,3480373     
1,지하주차장,3480000,S201700053,3           ,3341010     ,26,13304,10976,29,옥포읍,대구광역시 달성군 옥포읍 돌미로 70 (옥포대성베르힐4단지),2,Y,49,35,46,053-668-2890,대성베르힐4단지 아파트 지하 1층,20170420,대구광역시 달성군청,대구광역시 달성군 옥포읍 2964번지,㎡,128,3480373     
1,지하주차장,3450000,S201100009,3           ,4235125     ,36,7696,6350,8,산격4동,"대구광역시 북구 대구체육관로4길 2 (산격동, 산격2차청구맨션)",2,Y,25,35,53,053-665-4310,"산격2차 청구맨션 전체동의 지하주차장 1,2층",20110325,대구광역시 북구청,대구광역시 북구 산격동 1404번지 19호,㎡,128,3450039     
1,지하주차장,3450000,S201100010,3           ,3145017     ,36,2521,2080,5,산격4동,"대구광역시 북구 대구체육관로 12 (산격동, 산격청구맨션)",2,Y,26,35,53,053-665-4310,산격1차청구맨션 전체동의 지하주차장 1층,20110325,대구광역시 북구청,대구광역시 북구 산격동 1442번지 4호,㎡,128,3450039     
0,생활용수,3450000,E201200001,4           ,3007005     ,36,0,210,35,산격3동,대구광역시 북구 동북로 156 (산격동),1,Y,58,35,53,053-665-3900,스카이 사우나 3층,20120307,대구광역시 북구청,대구광역시 북구 산격동 1238번지 1호,t(톤),128,3450038     
1,교육시설,3450000,S200300061,3           ,3145021     ,36,1001,826,35,산격3동,"대구광역시 북구 대학로 80 (산격동, 경북대학교)",2,Y,15,35,53,053-665-4310,경북대 도서관 신관 지하 1층,20030820,대구광역시 북구청,대구광역시 북구 산격동 1370번지 1호,㎡,128,3450038     
1,교육시설,3450000,S200300062,3           ,3145021     ,36,1522,1256,35,산격3동,"대구광역시 북구 대학로 80 (산격동, 경북대학교)",2,Y,15,35,53,053-665-4310,경북대 복현회관 지하 1층,20030820,대구광역시 북구청,대구광역시 북구 산격동 1370번지 1호,㎡,128,3450038     
1,지하주차장,3440000,S202000001,3           ,4232162     ,35,5767,4758,59,봉덕1동,"대구광역시 남구 봉덕로21길 53-16(봉덕동, 봉덕한라하우젠트퍼스트아파트)",2,Y,49,35,50,053-664-3930,봉덕한라하우젠트아파트 지하1층,20200109,대구광역시 남구청,대구광역시 남구 봉덕동 1638 봉덕한라하우젠트퍼스트아파트,㎡,128,3440030     
1,생활용수,3440000,E199500001,1           ,4232307     ,35,0,250,31,대명2동,"대구광역시 남구 중앙대로38길 17 (대명동, 남구종합사회복지관)",1,Y,57,35,50,053-664-3930,남구종합사회복지관,19951102,대구광역시 남구청,대구광역시 남구 대명동 19번지 1호,t(톤),128,3440062     
1,상업시설,3440000,S201000007,3           ,2007001     ,35,8727,7200,27,대명2동,"대구광역시 남구 중앙대로 200 (대명동, 남대구우체국)",2,Y,2,35,51,053-664-3890,우체국보험 대구회관 지하1층~지하5층,20101201,대구광역시 남구청,대구광역시 남구 대명동 2010번지 1호,㎡,128,3440062     
1,교통시설,3440000,S200200012,3           ,2007001     ,35,5060,4175,26,대명2동,"대구광역시 남구 중앙대로 지하 194 (대명동, 교대역)",2,Y,0,35,51,053-664-3890,교대역정거장 지하1층~지하3층,20020101,대구광역시 남구청,대구광역시 남구 대명동 1982번지 11호,㎡,128,3440062     
1,주거시설,3440000,S202000002,3           ,4232265     ,35,8436,6960,42,대명2동,"대구광역시 남구 이천로19길 81 (대명동, 교대역동서프라임36.5)",2,Y,4,35,51,053-664-3890,교대역 동서프라임36.5 아파트 지하주차장 지하1층,20200108,대구광역시 남구청,대구광역시 남구 대명동 3060번지 교대역동서프라임36.5,㎡,128,3440062     
1,주차장,3440000,S201000004,3           ,3144003     ,33,907,749,40,대명10동,"대구광역시 남구 대명로 29 (대명동, 대구광역시 시설관리공단)",2,Y,20,35,50,053-664-3890,대구광역시시설관리공단 지하주차장 1층,20101203,대구광역시 남구청,대구광역시 남구 대명동 1593번지 4호,㎡,128,3440042     
1,주차장,3440000,S201000003,3           ,4232108     ,34,292,241,15,대명10동,"대구광역시 남구 도촌길 37 (대명동, 대구교육대학교학생생활관)",2,Y,26,35,50,053-664-3890,대구교육대학교 학생생활관 지하주차장 1층,20101203,대구광역시 남구청,대구광역시 남구 대명동 1636번지 1호,㎡,128,3440042     
1,주차장,3440000,S201800002,3           ,4232077     ,33,1775,1465,56,대명10동,대구광역시 남구 대명복개로4길 104 (대명동),2,Y,23,35,50,053-664-3890,나나바루아 아파트 지하주차장 1층,20181219,대구광역시 남구청,대구광역시 남구 대명동 1623번지 6호,㎡,128,3440042     
0,식수,3440000,E200100001,2           ,3141015     ,35,0,600,51,봉덕1동,대구광역시 남구 이천로 51 (봉덕동),1,Y,46,35,50,053-664-3930,남구청,20010614,대구광역시 남구청,대구광역시 남구 봉덕동 565번지 5호,t(톤),128,3440030     
0,식수,3440000,E199700001,1           ,3144003     ,34,0,400,8,대명6동,대구광역시 남구 대명로 100 (대명동),1,Y,21,35,50,053-664-3930,대명초등학교,19971124,대구광역시 남구청,대구광역시 남구 대명동 960번지,t(톤),128,3440038     
0,생활용수,3440000,E202200001,3           ,3144003     ,33,0,90,59,대명6동,대구광역시 남구 대명로 80(대명동),1,Y,20,35,50,053-664-3930,천지원목욕탕,20220329,대구광역시 남구청,대구광역시 남구 대명동 1054-2,t(톤),128,3440038     
1,기타,3440000,S199700006,3           ,3144003     ,33,6750,5569,55,대명6동,"대구광역시 남구 대명로 지하 71 (대명동, 대명역)",2,Y,22,35,50,053-664-3930,지하철대명역 지하1층,19970102,대구광역시 남구청,대구광역시 남구 대명동 1291번지,㎡,128,3440038     
1,주차장,3440000,S202300001,3           ,4232055     ,33,61140,50441,52,대명6동,"대구광역시 남구 대명로14길 60 (대명동, 대명역센트럴엘리프)",2,Y,11,35,50,053-664-3930,"대명역센트럴엘리프
 지하1-2층",20230616,대구광역시 남구청,대구광역시 남구 대명동 3072 대명역센트럴엘리프,㎡,128,3440038     
1,지하주차장,3440000,S197800025,3           ,3144003     ,34,3736,3083,15,대명6동,대구광역시 남구 대명로 124 (대명동),2,Y,21,35,50,053-664-3890,KT&G대구본부 지하1층,20040715,대구광역시 남구청,대구광역시 남구 대명동 959번지 10호,㎡,128,3440038     
1,지하주차장,3440000,S201000016,3           ,3144007     ,36,22629,18669,19,봉덕1동,"대구광역시 남구 봉덕로 134 (봉덕동, 강변코오롱하늘채)",2,Y,39,35,50,053-664-3930,강변코오롱하늘채 아파트 지하1층,20101214,대구광역시 남구청,대구광역시 남구 봉덕동 862번지,㎡,128,3440030     
1,지하주차장,3460000,S199100019,3           ,4238361     ,38,4203,3468,10,지산2동,"대구광역시 수성구 지범로22길 9, 주차장 지하 1층 (지산동, 지산한라타운)",2,Y,22,35,49,053-666-2960,지산한라타운 지하주차장 지하1층,19911007,대구광역시 수성구청,대구광역시 수성구 지산동 1275 지산한라타운 지하주차장 지하1층,㎡,128,3460044     
1,지하주차장,3460000,S199100024,3           ,3146025     ,37,2216,1829,59,지산2동,"대구광역시 수성구 지산로 32, 주차장 지하1층 (지산동, 지산우방타운)",2,Y,26,35,49,053-666-2960,지산우방타운 지하주차장 지하 1층,19910529,대구광역시 수성구청,대구광역시 수성구 지산동 1271 지산우방타운 지하주차장 지하1층,㎡,128,3460044     
1,지하주차장,3460000,S199100025,3           ,3146025     ,37,6216,5129,57,지산2동,"대구광역시 수성구 지산로 31, 주차장 지하1층 (지산동, 지산영남맨션)",2,Y,28,35,49,053-666-2960,지산영남맨션 지하주차장 지하1층,19910720,대구광역시 수성구청,대구광역시 수성구 지산동 1257-1 지산영남맨션 지하주차장 1층,㎡,128,3460044     
1,지하주차장,3460000,S199100026,3           ,4238341     ,37,5550,4579,48,지산2동,"대구광역시 수성구 용학로35길 62, 주차장 지하1층 (지산동, 화성맨션)",2,Y,30,35,49,053-666-2960,화성맨션 지하주차장 지하1층,19910715,대구광역시 수성구청,대구광역시 수성구 지산동 1257 화성맨션 지하주차장 지하1층,㎡,128,3460044     
1,지하주차장,3460000,S199100028,3           ,4238361     ,38,3583,2956,9,지산2동,"대구광역시 수성구 지범로22길 10, 주차장 지하1층 (지산동, 지산보성맨션)",2,Y,23,35,49,053-666-2960,지산2동보성맨션 지하주차장 지하1층,19910103,대구광역시 수성구청,대구광역시 수성구 지산동 1271-1 지산보성맨션 지하주차장 지하1층,㎡,128,3460044     
1,지하주차장,3460000,S199100020,3           ,4238361     ,38,3286,2711,8,지산2동,"대구광역시 수성구 지범로22길 23, 주차장 지하1층 (지산동, 지산협화맨션)",2,Y,16,35,49,053-666-2960,지산협화맨션 지하주차장 지하1층,19911119,대구광역시 수성구청,대구광역시 수성구 지산동 1273 지산협화맨션 지하주차장 지하1층,㎡,128,3460044     
1,지하주차장,3460000,S199100022,3           ,4238361     ,38,6436,5310,4,지산2동,"대구광역시 수성구 지범로22길 20, 주차장 지하1층 (지산동, 지산현대맨션)",2,Y,18,35,49,053-666-2960,지산현대맨션 지하주차장 지하1층,19910618,대구광역시 수성구청,대구광역시 수성구 지산동 1272-3 지산현대맨션 지하주차장 지하1층,㎡,128,3460044     
1,지하주차장,3460000,S199100027,3           ,3146025     ,37,3800,3135,53,지산2동,"대구광역시 수성구 지산로 5, 주차장 지하1층 (지산동, 지산리더스)",2,Y,20,35,49,053-666-2960,지산리더스 지하주차장 지하1층,19911115,대구광역시 수성구청,대구광역시 수성구 지산동 1234-1 지산리더스 지하주차장 지하1층,㎡,128,3460044     
1,지하주차장,3460000,S199100023,3           ,3146020     ,38,4139,3415,0,지산2동,"대구광역시 수성구 용학로 223, 주차장 지하1층 (지산동, 지산에덴아파트)",2,Y,16,35,49,053-666-2960,에덴아파트 지하주차장 지하1층,19910918,대구광역시 수성구청,대구광역시 수성구 지산동 1272-2 지산에덴아파트 지하주차장 지하1층,㎡,128,3460044     
1,지하주차장,3460000,S201800001,3           ,4238342     ,37,3132,2584,40,지산2동,"대구광역시 수성구 용학로36길 20, 주차장 지하1층 (지산동, 지산대우로얄하이츠)",2,Y,16,35,49,053-666-2960,지산대우로얄하이츠 지하주차장 지하1층,20180305,대구광역시 수성구청,대구광역시 수성구 지산동 1190 지산대우로얄하이츠 지하주차장 지하1층,㎡,128,3460044     
1,주차장,3460000,S199700003,3           ,3146002     ,42,12010,9909,15,고산3동,"대구광역시 수성구 고산로 123, 지하주차장 1층 (매호동, 하나타운)",2,Y,31,35,50,053-666-2960,하나타운 전체동 지하주차장 지하1층,19970101,대구광역시 수성구청,대구광역시 수성구 매호동 1331 하나타운,㎡,128,3460049     
1,지하주차장,3460000,S199600035,3           ,3146021     ,42,11673,9631,55,고산3동,"대구광역시 수성구 욱수천로 133, 지하주차장 1~2층 (사월동, 시지2차사월보성타운)",2,Y,22,35,50,053-666-2960,"사월보성타운 107동앞 지하주차장1층,그외주차장1~2층",19960801,대구광역시 수성구청,대구광역시 수성구 사월동 464 시지2차사월보성타운,㎡,128,3460049     
1,지하주차장,3460000,S200600006,3           ,3146002     ,42,6690,5520,27,고산3동,"대구광역시 수성구 고산로 162, 주차장지하 1~2층 (매호동, 한일유앤아이)",2,Y,42,35,50,053-666-2960,한일유앤아이 지하주차장 지하1~2층,20060630,대구광역시 수성구청,대구광역시 수성구 매호동 979-4 한일유앤아이,㎡,128,3460049     
1,지하주차장,3460000,S200600034,3           ,4238107     ,43,12764,10531,9,고산3동,"대구광역시 수성구 달구벌대로661길 7, 주차장지하 1~2층 (사월동, 대구 시지 푸르지오)",2,Y,13,35,50,053-666-2960,대구시지푸르지오 지하주차장 지하1~2층,20060630,대구광역시 수성구청,대구광역시 수성구 사월동 325 대구 시지 푸르지오,㎡,128,3460049     
1,지하주차장,3460000,S200600052,3           ,4238385     ,42,6166,5087,21,고산3동,"대구광역시 수성구 천을로23길 31, 주차장지하 1층 (매호동, 매호 효성백년가약 아파트)",2,Y,46,35,50,053-666-2960,매호효성백년가약 지하주차장 지하1층,20060603,대구광역시 수성구청,대구광역시 수성구 매호동 750 매호 효성백년가약 아파트,㎡,128,3460049     
1,생활용수,3460000,E199100001,4           ,3141013     ,36,0,70,54,수성2.3가동,"대구광역시 수성구 명덕로 411, (수성동2가, 광덕빌딩, 지하2층) (수성동2가)",1,Y,17,35,51,053-666-2960,광덕빌딩,19910101,대구광역시 수성구청,대구광역시 수성구 수성동2가 168-4,t(톤),128,3460035     
1,기타,3460000,S200600042,3           ,2007002     ,37,10082,8318,28,범어1동,"대구광역시 수성구 달구벌대로 지하2396,  범어역 지하1~4층 (범어동)",2,Y,32,35,51,053-666-2960,범어역 지하1~4층,20060612,대구광역시 수성구청,대구광역시 수성구 범어동 835 범어역 지하1~4층,㎡,128,3460027     
1,지하주차장,3460000,S201000010,3           ,4238126     ,37,13264,10943,40,범어1동,"대구광역시 수성구 동대구로50길 37, 지하2층 (범어동, 유림노르웨이숲)",2,Y,11,35,51,053-666-2960,범어유림노르웨이숲 전체동의 지하주차장 지하2층,20101201,대구광역시 수성구청,대구광역시 수성구 범어동 906-1 유림노르웨이숲 지하2층,㎡,128,3460027     
0,생활용수,3410000,E197800002,1           ,2007002     ,34,0,653,31,남산4동,"대구광역시 중구 달구벌대로 1926 (남산동, 대구중부소방서)",1,Y,44,35,51,053-661-2250,중부소방서,19781228,대구광역시 중구청,대구광역시 중구 남산동  2967번지  4   호,t(톤),128,3410038     
1,기타,3440000,S201000021,3           ,4232113     ,34,4986,4114,5,대명4동,"대구광역시 남구 두류공원로17길 33, 대구가톨릭의과대학병원 (대명동)",2,Y,39,35,50,053-664-3930,가톨릭대학병원 장례식장 지하1층,20101229,대구광역시 남구청,대구광역시 남구 대명동 3056-6 대구가톨릭의과대학병원,㎡,128,3440036     
1,교육장,3440000,S198300001,3           ,3141015     ,35,683,564,54,봉덕1동,"대구광역시 남구 이천로 51 (봉덕동, 남구청,남구의회,봉덕1동주민센터)",2,Y,45,35,50,053-664-3930,남구청 지하1층,19840103,대구광역시 남구청,대구광역시 남구 봉덕동 565번지 5호,㎡,128,3440030     
1,지하주차장,3440000,S199300004,3           ,3144007     ,35,6500,5363,52,봉덕1동,대구광역시 남구 봉덕로 61 (봉덕동),2,Y,43,35,50,053-664-3930,주식회사KT 지하1층,19930102,대구광역시 남구청,대구광역시 남구 봉덕동 627번지 15호,㎡,128,3440030     
1,기타,3450000,S200300118,3           ,3007021     ,35,486,401,2,침산3동,"대구광역시 북구 옥산로 75 (침산동, 북부도서관)",2,Y,6,35,53,053-665-4310,북부도서관 지하 1층,20030101,대구광역시 북구청,대구광역시 북구 침산동 447번지 10호,㎡,128,3450032     
0,식수,3450000,E198200004,1           ,3145017     ,36,0,400,12,산격4동,"대구광역시 북구 대구체육관로 39 (산격동, 대구체육관)",1,Y,36,35,53,053-665-3900,대구체육관,19821006,대구광역시 북구청,대구광역시 북구 산격동 1427번지 1호,t(톤),128,3450039     
1,지하주차장,3460000,S199200005,3           ,3146020     ,38,4147,3422,30,범물1동,"대구광역시 수성구 용학로 316, 범물영남보성아파트 지하주차장 지하1층 (범물동, 범물영남보성아파트)",2,Y,19,35,49,053-666-2960,범물영남타운 전체동의 지하1층 주차장,19920901,대구광역시 수성구청,"대구광역시 수성구 범물동 1269 범물영남보성아파트  103동 옆, 102동 옆, 105동 뒤쪽 지하주차장 지하1층",㎡,128,3460045     
1,주차장,3460000,S200600039,3           ,3146010     ,38,11167,9213,54,만촌2동,"대구광역시 수성구 무열로 47, 지하1~2층 (만촌동, 만촌태왕리더스)",2,Y,47,35,51,053-666-2960,만촌태왕리더스아파트 전체 동의 지하주차장 지하1~2층,20061106,대구광역시 수성구청,대구광역시 수성구 만촌동 995-1 만촌태왕리더스 지하1~2층,㎡,128,3460032     
1,교통시설,3460000,S200600040,3           ,2007002     ,38,10875,8972,43,만촌2동,"대구광역시 수성구 달구벌대로 지하2584, 만촌역 지하1~3층 (만촌동)",2,Y,32,35,51,053-666-2960,만촌역 지하1~3층,20061106,대구광역시 수성구청,대구광역시 수성구 만촌동 1320 만촌역 지하1~3층,㎡,128,3460032     
1,지하주차장,3470000,S200600062,3           ,3147030     ,31,3356,2769,47,진천동,"대구광역시 달서구 월서로 51 (진천동, 월배역포스코더샵아파트)",2,Y,6,35,49,053-667-2890,월배역포스코더？아파트 지하1층 지하주차장,20061227,대구광역시 달서구청,대구광역시 달서구 진천동 15번지 1호,㎡,128,3470039     
1,지하주차장,3470000,S201900001,3           ,4241622     ,31,31096,25655,49,진천동,"대구광역시 달서구 한실로6길 123 (대곡동, 수목원서한이다음아파트)",2,Y,45,35,47,053-667-2890,수목원 서한이다음 지하1층 주차장,20190625,대구광역시 달서구청,대구광역시 달서구 대곡동 1126번지 수목원서한이다음아파트,㎡,128,3470039     
0,식수,3470000,E199900002,1           ,4241166     ,32,0,200,37,도원동,대구광역시 달서구 미리샘길 26 (도원동),1,Y,23,35,48,053-667-2890,도원공원,19990218,대구광역시 달서구청,대구광역시 달서구 도원동 1454번지,㎥/일,128,3470055     
1,지하주차장,3470000,S199800003,3           ,3147045     ,31,5951,4910,57,월성1동,"대구광역시 달서구 학산로 30 (월성동, 월성보성타운1단지)",2,Y,41,35,49,053-667-2890,월성보성타운1단지 지하1층 지하주차장,19980601,대구광역시 달서구청,대구광역시 달서구 월성동 364번지,㎡,128,3470037     
1,지하주차장,3470000,S199800004,3           ,4241613     ,31,4575,3775,58,월성1동,"대구광역시 달서구 학산로2길 24 (월성동, 월성청구아파트)",2,Y,31,35,49,053-667-2890,월성청구아파트 지하1층 지하주차장,19980601,대구광역시 달서구청,대구광역시 달서구 월성동 500번지,㎡,128,3470037     
1,주차장,3470000,S202300001,3           ,3147031     ,31,68778,56742,31,월성1동,"대구광역시 달서구 월성로 100 (월성동, 월성 삼정그린코아 에듀파크)",2,Y,45,35,49,053-667-2890,월성삼정그린코아에듀파크 지하1~2층 주차장,20230721,대구광역시 달서구청,대구광역시 달서구 월성동 1894 월성 삼정그린코아 에듀파크,㎡,128,3470037     
1,지하주차장,3470000,S199100050,3           ,4241613     ,31,855,706,57,월성1동,"대구광역시 달서구 학산로2길 11 (월성동, 월성우방타운)",2,Y,35,35,49,053-667-2890,월성우방타운 지하1층 지하주차장,19911231,대구광역시 달서구청,대구광역시 달서구 월성동 500번지 9호,㎡,128,3470037     
1,지하주차장,3470000,S201100015,3           ,4241483     ,31,1324,1093,38,월성1동,"대구광역시 달서구 월배로33길 117 (월성동, 태왕 아너스 BEST)",2,Y,13,35,49,053-667-2890,태왕아너스베스트아파트 지하1층 지하주차장,20110811,대구광역시 달서구청,대구광역시 달서구 월성동 1329번지,㎡,128,3470037     
1,지하주차장,3470000,S200600050,3           ,3147027     ,31,9680,7986,46,용산1동,"대구광역시 달서구 용산로 253 (용산동, 용산현대우방아파트)",2,Y,37,35,51,053-667-2890,용산현대우방아파트 지하주차장 1층,20061227,대구광역시 달서구청,대구광역시 달서구 용산동 918번지,㎡,128,3470089     
